Topic,Name,url,date,isThreat,ThreatCount,isDisappointment,isDisappointment_reason,isComplain,isComplain_reason,isCritic,isCritic_reason,isAffect,isAffect_reason
19,19_vaccine_dose_disaster_covax,https://www.wto.org/english/news_e/news21_e/igo_29nov21_e.htm,2021-11-29,False,0.0,no,The article does not express any disappointments related to the United States.,no,There are no complaints about the United States from other countries mentioned in the article.,no,The article does not contain any criticism of the United States from the WTO.,no,The article does not imply a need for policy change within the United States; it focuses on trade finance in developing regions.
11,11_adjudication_litigation_satisfactory_consultations,https://www.wto.org/english/news_e/news18_e/ds565rfc_27aug18_e.htm,2018-08-27,True,2.0,no,The article does not express any emotions such as disappointment.,yes,China's request for consultations under the WTO framework is a formal complaint against the United States.,no,The article does not contain any direct criticism from the WTO towards the United States.,yes,The initiation of a dispute suggests that there may be a need for the United States to reconsider its tariff policy on Chinese imports.
-1,-1_pandemic_gatt_shall_panel,https://www.wto.org/english/news_e/spra_e/spra216_e.htm,2018-03-19,True,3.0,no,The article does not explicitly express any disappointments from the United States.,yes,"The article mentions concerns over protectionism and trade restrictive actions, indirectly referring to US policies.",yes,"The article criticizes the rise of protectionism and the announcement of new tariffs, which can be attributed to US actions.",yes,The call for resolving trade tensions and strengthening the multilateral trading system implies a need for policy change within the United States.
16,16_origin_preferential_utilization_hs,https://www.wto.org/english/news_e/news22_e/impl_29sep22_e.htm,2022-09-29,False,0.0,no,There is no mention of any disappointments expressed by the United States.,no,The article does not contain any complaints about the United States from other countries.,no,There is no criticism of the United States from the WTO mentioned in the article.,no,The article does not imply a need for policy change within the United States; it discusses a workshop on import licensing procedures.
27,27_unaffiliate_appeal_appeals_geographic,https://www.wto.org/english/news_e/news20_e/ds543apl_26oct20_e.htm,2020-10-26,False,0.0,no,"The article does not express any sentiments or reactions, including disappointment, from the United States.",no,There are no mentions of complaints about the United States from other countries within the article.,no,The article does not contain any criticism of the United States from the WTO; it merely reports on the current status of the Appellate Body.,no,"The article does not imply that there is a need for a policy change within the United States, as it focuses on the procedural aspects of the WTO."
4,4_aid_african_africa_afcfta,https://www.wto.org/english/news_e/news22_e/devel_07dec22_e.htm,2022-12-07,False,0.0,no,The article does not express any disappointments related to the United States.,no,There are no complaints about the United States from other countries mentioned in the article.,no,The article does not contain any criticism of the United States from the WTO.,no,The article does not imply a need for policy change within the United States.
103,103_guyana_dominican_rc_republic,https://www.wto.org/english/news_e/news12_e/tra_10apr12_e.htm,2012-04-11,False,0.0,no,There is no mention of the United States or any expressions of disappointment towards it in the article.,no,The article does not contain any complaints about the United States from other countries.,no,There is no criticism of the United States from the WTO mentioned in the article.,no,"The article does not imply a need for policy change within the United States, as it does not discuss US policies or actions."
10,10_amb_candidate_walker_accreditation,https://www.wto.org/english/news_e/news20_e/dgsel_mex_08jun20_e.htm,2020-06-08,False,0.0,no,The article does not mention any reactions or feelings from the United States regarding the nomination.,no,There are no complaints about the United States from other countries mentioned in the article.,no,The article does not contain any criticism of the United States from the WTO.,no,The article does not imply that there is a need for a policy change within the United States.
1,1_university_rtpc_essay_academic,https://www.wto.org/english/news_e/news10_e/tech_18nov10_e.htm,2010-11-18,False,0.0,no,The article does not mention any disappointments related to the United States.,no,There are no complaints about the United States from other countries mentioned in the article.,no,The article does not contain any criticism of the United States from the WTO.,no,The article does not imply a need for policy change within the United States.
100,100_leste_timor_macieira_dili,https://www.wto.org/english/news_e/news20_e/acc_01oct20_e.htm,2020-10-01,False,0.0,no,The article does not mention any disappointments from the United States.,no,There are no complaints about the United States from other countries mentioned in the article.,no,The article does not contain any criticism of the United States from the WTO.,no,The article does not imply a need for policy change within the United States.
17,17_fisheries_fish_fishing_subsidies,https://www.wto.org/english/news_e/pres23_e/pr939_e.htm,2023-11-17,False,0.0,no,The article does not mention any disappointments from the United States.,no,There are no complaints about the United States from other countries mentioned in the article.,no,The article does not contain any criticism of the United States from the WTO.,no,The article does not imply a need for policy change within the United States.
11,11_adjudication_litigation_satisfactory_consultations,https://www.wto.org/english/news_e/news14_e/ds476rfc_30apr14_e.htm,2014-04-30,False,0.0,no,The article does not mention any disappointments of the United States.,no,"The article focuses on a dispute between the Russian Federation and the European Union, without mentioning complaints about the United States.",no,There is no criticism of the United States from the WTO mentioned in the article.,no,The article does not imply a need for policy change within the United States.
17,17_fisheries_fish_fishing_subsidies,https://www.wto.org/english/news_e/pres23_e/pr937_e.htm,2023-11-13,False,0.0,no,The article does not mention any disappointments from the United States.,no,There are no complaints about the United States from other countries mentioned in the article.,no,The article does not contain any criticism of the United States from the WTO.,no,The article does not imply that there is a need for a policy change within the United States.
